round,test_acc,test_loss
0,0.1000000000,2.4028491409
1,0.1023000000,2.8281214638
2,0.1929000000,2.5200403221
3,0.2474000000,2.4442265446
4,0.2775000000,2.1884296993
5,0.2770000000,2.2090745056
6,0.2449000000,2.2217337456
7,0.2730000000,2.0244956474
8,0.2857000000,2.0021372902
9,0.3178000000,1.8722227875
10,0.2816000000,1.9864480339
11,0.2693000000,2.0570181946
12,0.3304000000,1.8928148521
13,0.3335000000,1.8999764503
14,0.3334000000,1.9298830357
15,0.3231000000,1.9406376144
16,0.3333000000,1.8146498606
17,0.3724000000,1.7727341192
18,0.3443000000,1.8996530739
19,0.3683000000,1.7974316013
20,0.3495000000,1.8680697975
21,0.3519000000,1.8392881371
22,0.4085000000,1.7084749361
23,0.4075000000,1.7283827894
24,0.3935000000,1.7398175167
25,0.3823000000,1.7362090355
26,0.4180000000,1.6941150858
27,0.4054000000,1.6973675259
28,0.4175000000,1.6753882076
29,0.3926000000,1.6820924620
30,0.3962000000,1.7458411736
31,0.4070000000,1.7602269575
32,0.4074000000,1.6847052811
33,0.4206000000,1.6675392853
34,0.4064000000,1.6965450806
35,0.4160000000,1.6931651016
36,0.4308000000,1.6715125122
37,0.3956000000,1.7232011272
38,0.3234000000,1.8647420929
39,0.3255000000,1.9367659580
40,0.2851000000,1.9677430161
41,0.2952000000,1.9732973339
42,0.2368000000,2.1658165047
43,0.2638000000,1.9703937975
44,0.2624000000,2.0894360565
45,0.2020000000,2.2437648865
46,0.2128000000,2.3983846008
47,0.2530000000,2.5012430935
48,0.2866000000,2.3917012955
49,0.2898000000,2.1467293930
50,0.2446000000,2.3894194916
51,0.3342000000,1.9612083344
52,0.2931000000,2.0955861923
53,0.2313000000,2.3271311653
54,0.3349000000,2.0033671173
55,0.2498000000,2.3946317535
56,0.2426000000,2.2755059124
57,0.2448000000,2.3067829666
58,0.2665000000,2.2559471172
59,0.3207000000,1.9975333691
60,0.3608000000,1.7576877914
61,0.3473000000,1.9323877892
62,0.3106000000,2.1728188171
63,0.3782000000,1.8907404133
64,0.3497000000,1.9614353256
65,0.3821000000,1.7960301704
66,0.3523000000,1.8742658133
67,0.3101000000,2.0664811577
68,0.3675000000,1.9284393147
69,0.3003000000,2.0963039063
70,0.3375000000,2.1763785858
71,0.2888000000,2.2453445717
72,0.3431000000,2.0432249832
73,0.3075000000,2.1678501404
74,0.3211000000,2.0980176456
75,0.3224000000,2.1491080627
76,0.3170000000,2.2011589497
77,0.2648000000,2.4495493839
78,0.3116000000,2.1765366329
79,0.3654000000,2.1765923218
80,0.3979000000,1.8818454689
81,0.3751000000,1.8279220612
82,0.4095000000,1.7827667160
83,0.3153000000,2.1069398193
84,0.3285000000,2.0974939598
85,0.3942000000,1.9290852844
86,0.3397000000,2.1740806541
87,0.3909000000,2.0954286545
88,0.4156000000,1.6737705662
89,0.4350000000,1.7375264687
90,0.3787000000,1.9514437210
91,0.3459000000,1.8806825565
92,0.3440000000,1.8971906084
93,0.3862000000,1.8639756260
94,0.3874000000,1.8032007277
95,0.4218000000,1.5418719990
96,0.3942000000,1.8364704556
97,0.4493000000,1.6293777531
98,0.3775000000,1.9295089699
99,0.3512000000,1.9885777679
100,0.4039000000,1.8769212536
101,0.3667000000,2.1520234119
102,0.4315000000,1.6557416004
103,0.4477000000,1.7096152426
104,0.4300000000,1.7197521626
105,0.3693000000,2.0776029606
106,0.3746000000,1.9312304466
107,0.4466000000,1.5805719551
108,0.4429000000,1.5463123377
109,0.4070000000,1.7242068630
110,0.4634000000,1.6888161091
111,0.4237000000,1.8556209579
112,0.4140000000,1.8843464493
113,0.4107000000,1.6689213518
114,0.3929000000,1.7652668419
115,0.3755000000,1.8128129860
116,0.4091000000,1.7476869999
117,0.4415000000,1.6733641756
118,0.4414000000,1.6370503855
119,0.3926000000,1.9402078247
120,0.4217000000,1.7024531006
121,0.3614000000,1.8995915352
122,0.3762000000,1.8593773453
123,0.4202000000,1.7186318928
124,0.4222000000,1.6595593039
125,0.4328000000,1.5823178240
126,0.4837000000,1.4793255512
127,0.4664000000,1.4991685696
128,0.3890000000,1.9206247166
129,0.3771000000,1.8843324286
130,0.4368000000,1.7497078966
131,0.3843000000,1.8815976307
132,0.4891000000,1.4834434086
133,0.5064000000,1.4544685410
134,0.5119000000,1.4014345985
135,0.4062000000,1.7781959263
136,0.4466000000,1.7410180626
137,0.4638000000,1.4765321636
138,0.5077000000,1.4773822050
139,0.4318000000,1.5758207428
140,0.4356000000,1.6755110167
141,0.3805000000,1.8764024200
142,0.4056000000,1.8991305508
143,0.4274000000,1.5869290998
144,0.4434000000,1.5806828094
145,0.4114000000,1.8270011143
146,0.4710000000,1.5598225773
147,0.4595000000,1.4902499878
148,0.4285000000,1.9251625257
149,0.4272000000,1.9221504101
150,0.3658000000,2.0787789059
151,0.3985000000,1.9542997883
152,0.4507000000,1.6472293386
153,0.4412000000,1.6839372129
154,0.3676000000,1.9602866447
155,0.3425000000,2.2025381664
156,0.3699000000,1.9028862221
157,0.3934000000,1.9857492317
158,0.4042000000,1.7070200981
159,0.4312000000,1.7701982954
160,0.4244000000,1.6315622196
161,0.5168000000,1.3571074245
162,0.4338000000,1.8533745651
163,0.3879000000,1.9797678291
164,0.4189000000,1.7444314075
165,0.4360000000,1.9026977011
166,0.4240000000,1.8525957062
167,0.4161000000,1.8530628780
168,0.4439000000,1.8397383144
169,0.4431000000,1.6611961143
170,0.4040000000,1.8776947041
171,0.3610000000,2.1979845177
172,0.4401000000,1.6517189865
173,0.4050000000,1.8714399796
174,0.4746000000,1.5731588522
175,0.4481000000,1.7787722380
176,0.4667000000,1.5645237122
177,0.3551000000,2.1577895538
178,0.4674000000,1.6316125662
179,0.4775000000,1.5821177248
180,0.5060000000,1.4710123997
181,0.4999000000,1.3903628210
182,0.5024000000,1.5514726370
183,0.3458000000,2.3737631760
184,0.4057000000,1.7190217125
185,0.4626000000,1.7042204857
186,0.4558000000,1.5925626680
187,0.4675000000,1.7112845032
188,0.4750000000,1.6578878719
189,0.4108000000,1.8733092964
190,0.4144000000,1.8534766888
191,0.4519000000,1.7033590338
192,0.4620000000,1.5770557583
193,0.4594000000,1.6497287048
194,0.3722000000,2.1419764061
195,0.3971000000,1.9968412689
196,0.4033000000,1.7934669649
