round,test_acc,test_loss
0,0.1000000000,2.4028491600
1,0.1182000000,2.3810108788
2,0.1560000000,2.4131957752
3,0.1568000000,2.5824678879
4,0.2096000000,2.2695967438
5,0.2088000000,2.2529746124
6,0.2211000000,2.1540572807
7,0.2851000000,1.9618426857
8,0.2711000000,1.9785013098
9,0.2744000000,1.9842361202
10,0.2844000000,1.8979808750
11,0.3178000000,1.8372469681
12,0.2948000000,1.8728607136
13,0.3357000000,1.7815539101
14,0.3191000000,1.8204885071
15,0.3181000000,1.8759856348
16,0.3325000000,1.8359231922
17,0.3467000000,1.8173990471
18,0.3639000000,1.7758000072
19,0.3372000000,1.7955457108
20,0.3400000000,1.8125059883
21,0.3518000000,1.8032475393
22,0.2995000000,1.9447330261
23,0.3375000000,1.8090134676
24,0.3473000000,1.8266038788
25,0.3707000000,1.7616961491
26,0.2922000000,2.0256669003
27,0.3205000000,1.8439767681
28,0.3236000000,1.8592611433
29,0.3144000000,1.8390467083
30,0.3625000000,1.8214881042
31,0.3132000000,1.8037455315
32,0.3641000000,1.7787307304
33,0.3353000000,1.8736673790
34,0.3813000000,1.7931851646
35,0.3575000000,1.8214661758
36,0.3448000000,1.9588551796
37,0.3732000000,1.8280643299
38,0.3343000000,2.0069105927
39,0.3275000000,1.8517366230
40,0.3904000000,1.7293352560
41,0.4163000000,1.6403790619
42,0.4377000000,1.6015666496
43,0.4300000000,1.5997177353
44,0.3689000000,1.7943774467
45,0.3796000000,1.7128755489
46,0.4255000000,1.6535162579
47,0.3913000000,1.7038932140
48,0.4119000000,1.7053247377
49,0.3580000000,1.7249796345
50,0.3834000000,1.7313550968
51,0.4364000000,1.5685530926
52,0.3824000000,1.7448680536
53,0.3182000000,1.7810223581
54,0.4330000000,1.6706895624
55,0.3669000000,1.7808954647
56,0.4310000000,1.6919398209
57,0.4287000000,1.6603848244
58,0.3984000000,1.6470280790
59,0.4002000000,1.7398288834
60,0.4303000000,1.6094731995
61,0.3779000000,1.7336209581
62,0.4408000000,1.6615657162
63,0.4369000000,1.6196666679
64,0.3913000000,1.6647806749
65,0.4415000000,1.5370135061
66,0.4033000000,1.7319453209
67,0.4111000000,1.5760484322
68,0.4685000000,1.4761021461
69,0.4623000000,1.5335601921
70,0.4022000000,1.6785082561
71,0.4377000000,1.5751920021
72,0.4009000000,1.7771936537
73,0.4587000000,1.5358644497
74,0.4047000000,1.6052964434
75,0.3145000000,1.7883772055
76,0.3739000000,1.7712289740
77,0.4545000000,1.5279816416
78,0.4275000000,1.6014485733
79,0.4389000000,1.5398834873
80,0.4322000000,1.5413065264
81,0.4112000000,1.6213861042
82,0.4471000000,1.5918232655
83,0.4351000000,1.5968965626
84,0.4688000000,1.4835103424
85,0.4323000000,1.6275025993
86,0.3857000000,1.8297515923
87,0.3988000000,1.6727792294
88,0.4307000000,1.6821380936
89,0.4254000000,1.6922452417
90,0.4474000000,1.6020630741
91,0.4744000000,1.4961487865
92,0.4737000000,1.4938055159
93,0.4885000000,1.4392895039
94,0.4950000000,1.4430898674
95,0.4873000000,1.4596391523
96,0.4188000000,1.5841295479
97,0.3841000000,1.6696410873
98,0.4267000000,1.6309317848
99,0.4240000000,1.6566250032
100,0.4761000000,1.4966885519
101,0.4941000000,1.4262617203
102,0.4272000000,1.6051328585
103,0.4563000000,1.5727930607
104,0.4782000000,1.5256773125
105,0.4611000000,1.5454631643
106,0.4322000000,1.5634457037
107,0.4819000000,1.4845593643
108,0.4618000000,1.4789554447
109,0.5065000000,1.3728762323
110,0.4547000000,1.6039297562
111,0.4648000000,1.5126765955
112,0.4834000000,1.4113670790
113,0.4518000000,1.5383464432
114,0.4333000000,1.6577444252
115,0.5067000000,1.4407643051
116,0.4773000000,1.4363991442
117,0.4948000000,1.3844116304
118,0.4527000000,1.5799789234
119,0.4929000000,1.3846500050
120,0.4599000000,1.5899610920
121,0.4776000000,1.4823437374
122,0.4703000000,1.5029057163
123,0.5197000000,1.3433006727
124,0.3968000000,1.8085670666
125,0.4607000000,1.4731494499
126,0.4779000000,1.5698854269
127,0.4723000000,1.4609140564
128,0.4540000000,1.5079700212
129,0.4969000000,1.3898352352
130,0.4975000000,1.3861609129
131,0.5170000000,1.3549994167
132,0.5118000000,1.3853020243
133,0.4018000000,1.8057169434
134,0.4598000000,1.7087356068
135,0.5160000000,1.3777140385
136,0.4400000000,1.9065993011
137,0.4423000000,1.5547642246
138,0.4987000000,1.3681307119
139,0.5188000000,1.3626512421
140,0.5228000000,1.3264751148
141,0.4830000000,1.4412065769
142,0.4919000000,1.4162223896
143,0.4441000000,1.5014641405
144,0.4617000000,1.5635908802
145,0.5217000000,1.3261314873
146,0.4865000000,1.3569666035
147,0.4711000000,1.6277750029
148,0.4968000000,1.4399369455
149,0.5149000000,1.3430493336
150,0.4582000000,1.9323882725
151,0.5131000000,1.3928951670
152,0.5079000000,1.3872754707
153,0.5209000000,1.3554527590
154,0.4950000000,1.3969642216
155,0.4951000000,1.4562916439
156,0.4730000000,1.5044605598
157,0.5235000000,1.3541314060
158,0.4912000000,1.4233194155
159,0.5297000000,1.3398732059
160,0.5179000000,1.3911265923
161,0.4974000000,1.3702462521
162,0.4938000000,1.4238692127
163,0.5179000000,1.3339749756
164,0.5229000000,1.3499589928
165,0.4756000000,1.4444043808
166,0.5316000000,1.3351131134
167,0.5396000000,1.3469548870
168,0.4815000000,1.4712449001
169,0.4963000000,1.4152144203
170,0.4997000000,1.4078965672
171,0.5266000000,1.3268105030
172,0.5627000000,1.2385043114
173,0.5348000000,1.3398472942
174,0.5381000000,1.2968344482
175,0.5077000000,1.3928698765
176,0.4811000000,1.6327702244
177,0.5202000000,1.3647115793
178,0.4925000000,1.4629834181
179,0.5125000000,1.4210831490
180,0.5240000000,1.4137559971
181,0.4847000000,1.5663455242
182,0.4955000000,1.4173040258
183,0.5363000000,1.3819228918
184,0.4942000000,1.4717084213
185,0.5320000000,1.4206491566
186,0.5201000000,1.3595473719
187,0.4731000000,1.6197841057
188,0.5030000000,1.3956117569
189,0.4800000000,1.4336067410
190,0.4998000000,1.3784853104
191,0.5299000000,1.2808300873
192,0.5254000000,1.3314001368
193,0.4898000000,1.5533455715
194,0.5481000000,1.3353826094
195,0.5488000000,1.3728441700
196,0.4509000000,1.6195045452
197,0.5036000000,1.3829437418
198,0.4530000000,1.6228556154
199,0.5408000000,1.3192530506
200,0.5194000000,1.3631471844
201,0.5145000000,1.3286291029
202,0.4465000000,1.6045144054
203,0.4998000000,1.3511870052
204,0.5169000000,1.3467444542
205,0.4504000000,1.8636175816
206,0.4150000000,1.8647805771
207,0.5354000000,1.3353582058
