round,test_acc,test_loss
0,0.1000000000,2.4028491600
1,0.1000000000,5.2828538010
2,0.2030000000,2.6233118385
3,0.1021000000,3.0406622559
4,0.2879000000,2.3020315075
5,0.1814000000,3.1893758316
6,0.1842000000,2.9463842484
7,0.2254000000,2.7546147602
8,0.2116000000,2.5362211174
9,0.3909000000,2.1544528313
10,0.2113000000,2.4587811729
11,0.3234000000,2.5132389732
12,0.4040000000,2.6659099445
13,0.3406000000,2.4825086479
14,0.2107000000,3.2778811443
15,0.2967000000,2.8526508644
16,0.3798000000,2.0822490501
17,0.3332000000,2.0909134041
18,0.4328000000,1.7325264069
19,0.4517000000,2.4212836615
20,0.3389000000,2.2235919292
21,0.3672000000,2.2155833328
22,0.4422000000,2.2962632370
23,0.3889000000,2.2199249718
24,0.4318000000,2.0256429993
25,0.4576000000,1.7355070248
26,0.3697000000,2.3326431908
27,0.5097000000,1.5856826729
28,0.4701000000,1.9243769501
29,0.5149000000,1.7467099792
30,0.4499000000,1.7813816803
31,0.2996000000,3.0893337643
32,0.4338000000,1.9113152620
33,0.4803000000,1.8965911636
34,0.4157000000,2.3588342472
35,0.4444000000,2.2526804165
36,0.4932000000,1.8642781620
37,0.4193000000,2.3531934292
38,0.3854000000,2.1659519604
39,0.3505000000,2.4226064781
40,0.4072000000,2.4658703945
41,0.4184000000,2.9208380623
42,0.3858000000,2.6378469006
43,0.3876000000,2.2231809002
44,0.4589000000,1.6707479664
45,0.4335000000,2.5089021595
46,0.4995000000,1.7569946548
47,0.3939000000,2.3064913239
48,0.4457000000,2.1984855644
49,0.3367000000,2.6702220821
50,0.3776000000,2.3609770264
51,0.3656000000,3.1337623047
52,0.3719000000,2.7429592258
53,0.4574000000,2.4127426533
54,0.4028000000,2.1633456741
55,0.5006000000,2.5262514282
56,0.4915000000,1.8258782986
57,0.4864000000,1.6906274357
58,0.5656000000,1.6084996799
59,0.4858000000,1.7753716621
60,0.4027000000,1.8417626396
61,0.4384000000,1.9415638054
62,0.3996000000,1.9883953911
63,0.4828000000,1.8942951332
64,0.4832000000,1.7988995155
65,0.4036000000,2.3893815144
66,0.4698000000,2.2176468315
67,0.4940000000,1.7566556854
68,0.3728000000,2.3918007545
69,0.4614000000,2.2687552498
70,0.4719000000,1.8289725914
71,0.4510000000,1.9433501457
72,0.4007000000,2.1656925413
73,0.5303000000,1.7671713634
74,0.4347000000,2.0809864552
75,0.5493000000,1.6501007313
76,0.3952000000,2.0534758369
77,0.4945000000,2.1174500044
78,0.3647000000,2.3046700071
79,0.4963000000,1.7822708439
80,0.5414000000,1.7821150625
81,0.4550000000,1.9526238831
82,0.5642000000,1.4628346781
83,0.4675000000,2.0847435562
84,0.5782000000,1.6823009098
85,0.4756000000,1.7402211533
86,0.5662000000,1.4749684973
87,0.5507000000,1.4923560659
88,0.5199000000,2.0225559782
89,0.5393000000,1.6725157356
90,0.4172000000,1.9320811592
91,0.5509000000,1.5094365383
92,0.5136000000,2.1298216436
93,0.5030000000,1.9801251623
94,0.4184000000,1.9483559454
95,0.5260000000,1.9274721104
96,0.4333000000,1.8443119249
97,0.5214000000,1.9403507580
98,0.5027000000,2.2062399488
99,0.5291000000,1.7101085831
100,0.5440000000,1.7340131796
101,0.5113000000,1.8747283798
102,0.4672000000,1.6786219543
103,0.5219000000,1.6383757500
104,0.4000000000,2.6817610931
105,0.4866000000,1.9951103428
106,0.5777000000,1.5271095879
107,0.5870000000,1.5620288233
108,0.5628000000,1.6863686207
109,0.5901000000,1.5096203241
110,0.5772000000,1.5036251143
111,0.4756000000,1.9858459814
112,0.4978000000,1.5819733404
113,0.5548000000,1.6852236593
114,0.5760000000,1.7493393425
115,0.5628000000,1.6667867411
116,0.5135000000,1.8046958960
117,0.5066000000,1.7475950325
118,0.5198000000,2.0075736988
119,0.4906000000,1.9298718319
120,0.5865000000,1.5280634905
121,0.4237000000,2.0325416485
122,0.5837000000,1.6342908054
123,0.5021000000,1.6316289669
124,0.5600000000,1.4082131393
125,0.4993000000,2.0816104500
126,0.5590000000,1.6091511290
127,0.4963000000,1.8955972124
128,0.5011000000,1.7912212479
129,0.5419000000,1.7431119272
130,0.5689000000,1.6115763817
131,0.5590000000,1.4327699335
132,0.5592000000,1.4201846176
133,0.5991000000,1.5222818123
134,0.5122000000,1.5562004824
135,0.5520000000,1.7299804493
136,0.5660000000,1.6966423321
137,0.5736000000,1.4591481411
138,0.5704000000,1.4088617737
139,0.5015000000,1.7930287952
140,0.5500000000,1.5167264996
141,0.5358000000,1.7962097357
142,0.5159000000,1.8062049444
143,0.2960000000,3.9527742729
144,0.4838000000,2.3400289444
145,0.4732000000,1.7395312506
146,0.5344000000,1.7995959629
147,0.5412000000,1.6620624014
148,0.4932000000,2.2436348740
149,0.5174000000,2.0386896912
150,0.4961000000,2.0576479033
151,0.5576000000,1.6036954378
152,0.5251000000,1.5529594948
153,0.5228000000,1.6126976824
154,0.5355000000,1.6822810596
155,0.5618000000,1.4638465998
156,0.5866000000,1.4950773221
157,0.5398000000,1.9037294125
158,0.4373000000,1.9115293459
159,0.5245000000,1.9611218019
160,0.5627000000,1.3811696121
161,0.5301000000,1.7691375372
162,0.5212000000,2.0536021868
163,0.4903000000,2.1089632385
164,0.5527000000,1.3674259691
165,0.5077000000,2.2988375389
166,0.5711000000,1.5092660690
167,0.5742000000,1.3932313591
168,0.5865000000,1.4815184971
