round,test_acc,test_loss
0,0.1000000000,2.4028491600
1,0.1791000000,2.4823820778
2,0.2398000000,2.1526756844
3,0.3440000000,1.8543584724
4,0.2924000000,2.2311425396
5,0.3591000000,1.9913628677
6,0.3497000000,1.9297100510
7,0.4025000000,1.8570257439
8,0.4237000000,1.7648525156
9,0.4604000000,1.5060474184
10,0.5400000000,1.3031181183
11,0.4451000000,1.9002817024
12,0.4887000000,1.4849284657
13,0.5242000000,1.5339044117
14,0.5658000000,1.3057173538
15,0.6202000000,1.0836074917
16,0.4829000000,1.6319999310
17,0.6040000000,1.1385533735
18,0.5970000000,1.1655218439
19,0.6035000000,1.1805053083
20,0.6188000000,1.1653487116
21,0.6450000000,1.0280543709
22,0.6698000000,0.9783693903
23,0.6059000000,1.1611072113
24,0.6572000000,0.9985636850
25,0.6244000000,1.0950697701
26,0.6724000000,0.9857093578
27,0.6281000000,1.1512997397
28,0.6572000000,1.0685672105
29,0.7104000000,0.8593474058
30,0.5450000000,1.5650969326
31,0.7163000000,0.8349207589
32,0.7091000000,0.8530218693
33,0.7368000000,0.8007258528
34,0.7372000000,0.7694675384
35,0.6822000000,0.9580350525
36,0.6851000000,1.0037277775
37,0.7073000000,0.9196537013
38,0.7244000000,0.8464494745
39,0.7703000000,0.6618088906
40,0.7019000000,0.9768572220
41,0.7779000000,0.6635407227
42,0.7600000000,0.7012937760
43,0.7487000000,0.8365572840
44,0.7851000000,0.6327491358
45,0.7632000000,0.6964042581
46,0.7616000000,0.7034678272
47,0.7501000000,0.7380304636
48,0.7471000000,0.7560285463
49,0.8043000000,0.5773168277
50,0.7720000000,0.6771176866
51,0.8019000000,0.5855956796
52,0.8095000000,0.5646512894
53,0.7899000000,0.6178195733
54,0.7925000000,0.6374900264
55,0.7442000000,0.8263449299
56,0.7572000000,0.7220118447
57,0.7831000000,0.6571708364
58,0.8003000000,0.6222140120
59,0.7225000000,0.8694910362
60,0.8107000000,0.5743882523
61,0.7593000000,0.7048733375
62,0.7566000000,0.8322145590
63,0.7679000000,0.7149958431
64,0.7701000000,0.6862296068
65,0.8121000000,0.6158230224
66,0.7857000000,0.6642433129
67,0.8358000000,0.5045515600
68,0.8152000000,0.5351975557
69,0.8341000000,0.5025045500
70,0.8098000000,0.5822898426
71,0.8238000000,0.5371043284
72,0.8056000000,0.5855808660
73,0.8135000000,0.5897802998
74,0.8248000000,0.5678618430
75,0.8317000000,0.4814277612
76,0.8207000000,0.5593418255
77,0.8250000000,0.5536388407
78,0.8019000000,0.6455151191
79,0.8279000000,0.5421038574
80,0.8508000000,0.4657935467
81,0.7852000000,0.6214738784
82,0.8137000000,0.6168644536
83,0.7918000000,0.6749826609
84,0.8279000000,0.5297478271
85,0.8156000000,0.6001795459
86,0.8261000000,0.5481392339
87,0.8571000000,0.4365425029
88,0.8324000000,0.5208207988
89,0.8274000000,0.5484441252
90,0.8308000000,0.5517953493
91,0.8359000000,0.5124347615
92,0.8405000000,0.5197969755
93,0.8646000000,0.4198432995
94,0.8380000000,0.5047262325
95,0.8203000000,0.5643491182
96,0.8154000000,0.6142775133
97,0.8024000000,0.6107667348
98,0.8564000000,0.4542746171
99,0.8337000000,0.5683359346
100,0.8416000000,0.5139939204
101,0.8300000000,0.5229132298
102,0.8605000000,0.4389125191
103,0.8126000000,0.6351147134
104,0.8433000000,0.5240331582
105,0.8451000000,0.5101835598
106,0.8397000000,0.5141716555
107,0.8573000000,0.4573034106
108,0.8332000000,0.5364937541
109,0.8663000000,0.4149584691
110,0.8655000000,0.4163570214
111,0.8683000000,0.4177247405
112,0.8783000000,0.3877102062
113,0.8577000000,0.4518510626
114,0.8299000000,0.5978723582
115,0.8380000000,0.5773710472
116,0.8667000000,0.4041322852
117,0.8762000000,0.3914891941
118,0.8668000000,0.4181672332
119,0.8810000000,0.3659601107
120,0.8489000000,0.5016809688
121,0.8219000000,0.6170966738
122,0.8601000000,0.4539582640
123,0.8665000000,0.4173005704
124,0.8624000000,0.4325194668
125,0.8665000000,0.4257306761
126,0.8447000000,0.4891500701
127,0.8606000000,0.4337360726
128,0.8357000000,0.5348022513
129,0.8769000000,0.3893814795
130,0.8713000000,0.3984189125
131,0.8627000000,0.4404472426
132,0.8778000000,0.3896113599
133,0.8592000000,0.4692323967
134,0.8707000000,0.4263269495
135,0.8190000000,0.6129157017
136,0.8671000000,0.4461410252
137,0.8766000000,0.4060612551
138,0.8675000000,0.4220516741
139,0.8568000000,0.4707882410
140,0.8500000000,0.4842340062
141,0.8481000000,0.5145156845
142,0.8398000000,0.5276541861
143,0.8571000000,0.4801264469
144,0.8661000000,0.4454969381
145,0.8826000000,0.3813863328
146,0.8714000000,0.4273365289
147,0.8557000000,0.4858044293
148,0.8591000000,0.4709883262
149,0.8845000000,0.3723195791
150,0.8645000000,0.4575846796
151,0.8673000000,0.4308350541
152,0.8734000000,0.4082597667
153,0.8680000000,0.4371624279
154,0.8899000000,0.3626620420
155,0.8782000000,0.3889658686
156,0.8445000000,0.5131983549
157,0.8817000000,0.3824599970
158,0.8739000000,0.4032640188
159,0.8821000000,0.4071644779
160,0.8525000000,0.4872710693
161,0.8585000000,0.4714107186
162,0.8472000000,0.4994416285
163,0.8775000000,0.4057788992
164,0.8848000000,0.3764889587
165,0.8807000000,0.3991233974
166,0.8898000000,0.3656062034
167,0.8825000000,0.3824743796
168,0.8312000000,0.5948528385
169,0.8818000000,0.3892018137
170,0.8756000000,0.4041985121
171,0.8858000000,0.3804938800
172,0.8853000000,0.3869314458
173,0.8645000000,0.4633501784
174,0.8794000000,0.3983187290
175,0.8885000000,0.3809636828
176,0.8836000000,0.4033545003
177,0.8852000000,0.3901465018
178,0.8784000000,0.4067637759
179,0.8567000000,0.4939980296
180,0.8701000000,0.4274364820
181,0.8828000000,0.3825951833
182,0.8767000000,0.4062471912
183,0.8751000000,0.4163188816
184,0.8897000000,0.3621948574
185,0.8935000000,0.3501912885
186,0.8798000000,0.4013648764
187,0.8789000000,0.4007882321
188,0.8580000000,0.4805086075
189,0.8721000000,0.4269992819
190,0.8719000000,0.4211947014
191,0.8844000000,0.3824438728
192,0.8817000000,0.4006337232
193,0.8737000000,0.4231308826
194,0.8682000000,0.4433274621
195,0.8627000000,0.4723686757
196,0.8948000000,0.3601107149
197,0.8791000000,0.4237447790
198,0.8533000000,0.5030773189
199,0.8954000000,0.3576952944
200,0.8689000000,0.4249201497
201,0.8822000000,0.3942790279
202,0.8578000000,0.4695148218
203,0.8866000000,0.3794793250
204,0.8914000000,0.3681089043
205,0.8600000000,0.4995714468
206,0.8248000000,0.7110314624
207,0.8861000000,0.3967778713
208,0.8874000000,0.3626770698
209,0.8914000000,0.3618543683
210,0.8549000000,0.4835755961
211,0.8782000000,0.3977819262
212,0.8782000000,0.4081295889
213,0.8908000000,0.3690966848
214,0.8978000000,0.3445405541
215,0.8939000000,0.3678534040
216,0.8885000000,0.3615701452
217,0.8942000000,0.3680489014
218,0.8967000000,0.3666518104
219,0.8943000000,0.3463277731
220,0.8777000000,0.4163633288
221,0.8954000000,0.3438337146
222,0.8606000000,0.5006854352
223,0.8965000000,0.3491351439
224,0.8966000000,0.3469198763
225,0.8978000000,0.3526130801
226,0.8903000000,0.3727547835
227,0.8877000000,0.3668546312
228,0.8855000000,0.3842182980
229,0.8844000000,0.3824801627
230,0.8837000000,0.3861190590
231,0.8822000000,0.4182967283
232,0.8943000000,0.3702688683
233,0.8832000000,0.3956315587
234,0.8741000000,0.4576364305
235,0.8885000000,0.3933591886
236,0.8790000000,0.4192928325
237,0.8806000000,0.3999227691
238,0.8900000000,0.3732071173
239,0.8914000000,0.3764578017
240,0.8995000000,0.3426244717
241,0.8952000000,0.3542462227
242,0.8765000000,0.4447273780
243,0.8988000000,0.3472537056
244,0.8640000000,0.4808358313
245,0.8894000000,0.3815865592
246,0.8837000000,0.3906331808
247,0.8850000000,0.3889704099
248,0.8701000000,0.4398658859
249,0.8980000000,0.3570800704
250,0.9003000000,0.3533194318
251,0.8899000000,0.3946340671
252,0.8837000000,0.4131772152
253,0.8919000000,0.3853228813
254,0.8979000000,0.3486991163
255,0.8942000000,0.3602738673
256,0.8717000000,0.4332604221
257,0.8950000000,0.3584915054
258,0.9025000000,0.3287787904
259,0.8809000000,0.3919867054
260,0.8963000000,0.3381914739
261,0.8899000000,0.3613212028
262,0.8751000000,0.4225493215
263,0.8949000000,0.3686817830
264,0.8896000000,0.3716069504
265,0.8940000000,0.3486588762
266,0.8975000000,0.3538528889
267,0.8956000000,0.3500614262
268,0.8878000000,0.3928134358
269,0.8657000000,0.4644275955
270,0.8971000000,0.3460817782
271,0.9048000000,0.3326398170
272,0.9018000000,0.3343106096
273,0.8897000000,0.3891424165
274,0.8764000000,0.4281886968
275,0.8772000000,0.4012803013
276,0.8678000000,0.4963427574
277,0.8754000000,0.4443758481
278,0.8965000000,0.3487620799
279,0.9049000000,0.3313264701
280,0.8966000000,0.3540470984
281,0.8744000000,0.4361990140
282,0.9020000000,0.3464901945
283,0.9000000000,0.3496125916
284,0.8963000000,0.3731013391
285,0.8966000000,0.3635439888
286,0.8983000000,0.3695193241
287,0.9028000000,0.3413768937
288,0.8780000000,0.4355307571
289,0.8886000000,0.3881322730
290,0.8710000000,0.4606526043
291,0.8969000000,0.3536806216
292,0.8905000000,0.3864222146
293,0.9003000000,0.3503081580
294,0.8833000000,0.4101548718
295,0.8984000000,0.3549401478
296,0.8829000000,0.4264770564
297,0.8997000000,0.3488404597
298,0.9011000000,0.3451877936
299,0.8984000000,0.3399197966
300,0.9025000000,0.3394621040
