round,test_acc,test_loss
0,0.1000000000,2.4028492577
1,0.1025000000,2.6218091728
2,0.1245000000,3.0275485912
3,0.1910000000,3.3290317390
4,0.2230000000,3.7463668396
5,0.2831000000,3.2734002033
6,0.2862000000,3.1057407318
7,0.2781000000,2.7577226677
8,0.1397000000,4.9832927769
9,0.1845000000,3.1667752350
10,0.2387000000,2.7758893761
11,0.3745000000,2.2230644798
12,0.2807000000,2.7030562832
13,0.2037000000,3.5892197174
14,0.2308000000,3.9533734093
15,0.3220000000,4.2035138649
16,0.3145000000,3.7518796135
17,0.3957000000,2.8176205658
18,0.3649000000,2.5337950489
19,0.4062000000,2.0236087112
20,0.3701000000,2.0553235504
21,0.3252000000,2.2788150711
22,0.3378000000,2.3647205498
23,0.4142000000,1.8156530582
24,0.4270000000,1.9589037748
25,0.3307000000,2.9046750542
26,0.2102000000,4.2627005234
27,0.3228000000,3.6311625031
28,0.2841000000,4.4457387062
29,0.3143000000,4.4937481323
30,0.3984000000,3.0144335636
31,0.3302000000,2.5704098614
32,0.3162000000,3.1050414940
33,0.3338000000,2.7758540600
34,0.3632000000,2.8547933922
35,0.2974000000,4.0927043713
36,0.4144000000,3.0240882736
37,0.4534000000,3.0284085051
38,0.4589000000,2.6890930540
39,0.3923000000,3.5846602211
40,0.3185000000,4.4797793602
41,0.3734000000,4.1205401566
42,0.2036000000,5.4088840721
43,0.2961000000,4.3200629532
44,0.2409000000,5.9808689400
45,0.2700000000,4.1067900146
46,0.4269000000,2.8379277061
47,0.3621000000,3.3025730026
48,0.3267000000,4.0268231453
49,0.3558000000,3.5207742538
50,0.3230000000,3.4715453335
51,0.3831000000,3.1931760941
52,0.3895000000,3.2380426842
53,0.3326000000,3.9535051689
54,0.4021000000,3.3130943592
55,0.3955000000,3.6996128227
56,0.4061000000,3.5489724182
57,0.4051000000,2.8759053856
58,0.3387000000,3.6728859436
59,0.3501000000,3.2646779171
60,0.3984000000,2.5700799446
61,0.3562000000,2.8530600716
62,0.3572000000,2.8643266899
63,0.3824000000,2.3894793541
64,0.3133000000,3.6197559593
65,0.4198000000,3.6457152351
66,0.4274000000,2.5183488607
67,0.4049000000,3.0175821869
68,0.4117000000,2.4665262833
69,0.3656000000,2.4815056450
70,0.3765000000,2.3250466026
71,0.3646000000,2.8376410686
72,0.3537000000,3.3836265961
73,0.3734000000,2.9131868370
74,0.4355000000,2.3641925678
75,0.4483000000,2.2889657543
76,0.4070000000,2.6301329239
77,0.4469000000,2.5800537502
78,0.4800000000,2.0424219902
79,0.4067000000,2.5392145027
80,0.3557000000,3.7998590557
81,0.3514000000,3.1803216953
82,0.4228000000,2.6752749687
83,0.4182000000,2.6305056442
84,0.4320000000,2.3467421959
85,0.4669000000,2.2534443188
86,0.4706000000,2.6973724438
87,0.4157000000,4.0927218010
88,0.3525000000,4.6561753784
89,0.4827000000,2.1028170246
90,0.4010000000,2.5901293716
91,0.4106000000,2.5448805725
