round,test_acc,test_loss
0,0.1000000000,2.4028491604
1,0.1104000000,2.3725538834
2,0.1145000000,2.7565274216
3,0.1703000000,2.9224731174
4,0.1875000000,2.7963857754
5,0.2648000000,2.9083386330
6,0.2305000000,3.6311929569
7,0.2332000000,3.8568692436
8,0.2201000000,3.7395497471
9,0.1750000000,3.6098884941
10,0.1112000000,4.7490082851
11,0.1518000000,4.3619294369
12,0.2539000000,3.4192489960
13,0.2039000000,3.6288187073
14,0.2027000000,4.0250899780
15,0.2564000000,3.1419078484
16,0.3051000000,2.7019138138
17,0.2839000000,2.6807357735
18,0.2626000000,2.7046395561
19,0.2023000000,3.7381185940
20,0.1883000000,3.8544278221
21,0.3623000000,2.8658773548
22,0.3579000000,2.9827746151
23,0.3951000000,2.6485658062
24,0.3195000000,3.0962961922
25,0.2582000000,3.5606514969
26,0.2723000000,3.4845572086
27,0.2460000000,3.6826524010
28,0.2635000000,3.6169937252
29,0.2235000000,3.6934495285
30,0.3392000000,2.2169146851
31,0.4820000000,1.7720865623
32,0.3775000000,2.6127014297
33,0.4600000000,2.0477623779
34,0.3840000000,2.0570799408
35,0.2736000000,3.2052695976
36,0.3136000000,3.3912151745
37,0.4107000000,2.9362217525
38,0.3761000000,3.1184890415
39,0.4139000000,2.6132598255
40,0.3800000000,2.6385019058
41,0.3455000000,2.7542104866
42,0.3698000000,2.3575703560
43,0.4549000000,2.0130078651
44,0.3701000000,2.3882701523
45,0.3440000000,2.3444860159
46,0.4207000000,1.8888712597
47,0.4118000000,1.6902833332
48,0.4255000000,1.8361500637
49,0.4341000000,1.9507668488
50,0.4194000000,2.2184076530
51,0.4762000000,1.9269564194
52,0.3538000000,2.3093899895
53,0.4533000000,1.5716874512
54,0.5613000000,1.2347294876
55,0.5465000000,1.3101762033
56,0.3657000000,2.4610857010
57,0.3104000000,3.1314329605
58,0.3651000000,2.7498924484
59,0.4819000000,1.9370117569
60,0.4680000000,1.8977295650
61,0.5315000000,1.4790750525
62,0.4725000000,1.6759689983
63,0.4413000000,1.8082954300
64,0.3837000000,2.1420478222
65,0.4480000000,1.8489586443
66,0.5703000000,1.4190596252
67,0.4976000000,1.9956324318
68,0.4596000000,2.1346866287
69,0.5375000000,1.4925226507
70,0.6061000000,1.2422138195
71,0.5077000000,1.6942916058
72,0.3569000000,2.4684067661
73,0.4084000000,2.1625497948
74,0.5441000000,1.5013271551
75,0.5666000000,1.3793041441
76,0.5109000000,1.4987776133
77,0.5049000000,1.5919762012
78,0.5701000000,1.3984760609
79,0.6443000000,1.1850588004
80,0.5895000000,1.5260043648
81,0.4574000000,1.9329379782
82,0.4617000000,2.0117291775
83,0.4870000000,2.0073688738
84,0.5134000000,1.9731256865
85,0.4936000000,2.1194665909
86,0.4740000000,1.8661056343
87,0.5954000000,1.1586132149
88,0.6260000000,1.1321890802
89,0.4678000000,1.9898604050
90,0.3948000000,2.5120725166
91,0.5299000000,1.6152262081
92,0.5431000000,1.7185706985
93,0.5004000000,2.3129951431
94,0.5205000000,2.2751664371
95,0.5162000000,2.1785721710
96,0.5687000000,1.6924656540
97,0.6476000000,1.4618545387
98,0.5550000000,1.7510995359
99,0.5314000000,1.8687484180
100,0.5884000000,1.5108316780
101,0.6231000000,1.3536406570
102,0.6509000000,1.1795375721
103,0.6307000000,1.1986643158
104,0.6137000000,1.2037741243
105,0.6498000000,1.0997909084
106,0.6256000000,1.1595622531
107,0.5142000000,1.7120123329
108,0.5370000000,1.5626475389
109,0.5986000000,1.1936313084
110,0.6475000000,1.0815762875
111,0.6268000000,1.1159413626
112,0.6379000000,1.1379162971
113,0.6857000000,0.9499159700
114,0.6400000000,1.1131857809
115,0.5921000000,1.4875643339
116,0.5361000000,2.0667017223
117,0.5649000000,1.7446316544
118,0.6315000000,1.3064039255
119,0.6635000000,1.0276371603
120,0.6412000000,1.1169492893
121,0.6466000000,1.1875444620
122,0.6345000000,1.1700627522
123,0.6815000000,1.0920387888
124,0.6481000000,1.2777648418
125,0.5678000000,1.9434140900
126,0.5344000000,1.6007327421
127,0.5280000000,1.5967742218
128,0.6617000000,1.0032905634
129,0.6403000000,1.0855613589
130,0.6074000000,1.1943396809
131,0.6246000000,1.1880087713
132,0.7189000000,0.8224629973
133,0.7122000000,0.8775239676
134,0.6750000000,1.0531174566
135,0.6751000000,1.2749183586
136,0.5939000000,1.7385700434
137,0.6270000000,1.6714473274
138,0.6170000000,1.3634214197
139,0.5991000000,1.2780093903
140,0.6273000000,1.1129659458
141,0.7019000000,0.8799549842
142,0.7081000000,0.9146104275
143,0.7157000000,0.8495485289
144,0.7009000000,0.9136675941
145,0.6916000000,0.9281347137
146,0.6070000000,1.3216881874
147,0.5879000000,1.4258238352
148,0.6741000000,1.0906226200
149,0.7127000000,0.8717355001
150,0.6163000000,1.3749190952
151,0.6504000000,1.3050798304
152,0.6936000000,1.1145707718
153,0.6738000000,1.2970429558
154,0.6623000000,1.2989119301
155,0.6482000000,1.2322913139
156,0.6886000000,1.0022829308
157,0.6780000000,1.0539714132
158,0.6415000000,1.0968075039
