round,test_acc,test_loss
0,0.1000000000,2.4028492386
1,0.1141000000,3.1415058819
2,0.1908000000,2.7554942139
3,0.1971000000,2.6060636040
4,0.2439000000,2.3554530975
5,0.2104000000,2.3826976631
6,0.2278000000,2.4131684486
7,0.2552000000,2.2643372765
8,0.2918000000,2.1934795570
9,0.3070000000,1.9359476070
10,0.2379000000,2.0719618111
11,0.2816000000,2.1397746918
12,0.3625000000,2.1487029743
13,0.3361000000,1.9967126263
14,0.2129000000,2.5419450199
15,0.3049000000,2.2425364754
16,0.3372000000,2.0955661289
17,0.3974000000,1.8402270607
18,0.3478000000,1.8877703411
19,0.3681000000,2.1703576385
20,0.3477000000,1.8621969048
21,0.3889000000,1.9812034111
22,0.3765000000,2.0993310894
23,0.3477000000,2.1365013771
24,0.3213000000,1.8573684742
25,0.4037000000,1.7775842266
26,0.3374000000,2.1391020454
27,0.3685000000,1.9887922920
28,0.3688000000,1.9708207767
29,0.3795000000,1.9871830467
30,0.3798000000,1.9152459602
31,0.2977000000,2.2516955616
32,0.3614000000,2.2212229694
33,0.3951000000,1.7330596764
34,0.4359000000,1.6781851498
35,0.3486000000,2.2576725925
36,0.4080000000,1.6927588833
37,0.3801000000,2.0069153683
38,0.3435000000,2.1609754211
39,0.2876000000,2.4900815292
40,0.3711000000,2.1657828949
41,0.3086000000,2.6594415756
42,0.3709000000,2.0637735035
43,0.3417000000,2.2883769428
44,0.4253000000,1.7103506744
45,0.3396000000,2.1904125961
46,0.3883000000,1.8154274052
47,0.3296000000,2.4745065762
48,0.3855000000,2.2192860046
49,0.3578000000,2.3265202465
50,0.3248000000,2.4148505810
51,0.3034000000,2.9992113373
52,0.3750000000,2.6392906544
53,0.2954000000,2.5184207783
54,0.3980000000,2.0906797981
55,0.3911000000,2.5500505516
56,0.4082000000,2.1263652786
57,0.3890000000,2.1133593510
58,0.4589000000,1.8166720980
59,0.3767000000,2.1041897476
60,0.3343000000,2.2865606789
61,0.4036000000,2.1031928173
62,0.3084000000,2.5364554348
63,0.3455000000,2.2112278103
64,0.4704000000,1.6484155613
65,0.3399000000,2.3242199066
66,0.4017000000,2.2320810724
67,0.3995000000,1.9998484470
68,0.2356000000,3.2342412392
69,0.4151000000,2.1344866917
70,0.3885000000,2.2096326065
71,0.2301000000,3.4697878433
72,0.3819000000,2.5584691078
73,0.3789000000,2.2530835587
74,0.3796000000,2.2019857327
75,0.4025000000,1.9855636520
76,0.3592000000,2.1914864975
77,0.3694000000,2.3310452595
78,0.3163000000,2.6816605274
79,0.3247000000,2.6370632092
80,0.4308000000,2.0591573341
81,0.3761000000,2.2409672646
82,0.4392000000,1.9645375721
83,0.3954000000,2.1032662531
84,0.4367000000,2.0536798733
85,0.4110000000,1.9689175758
86,0.4454000000,1.9544907463
87,0.4247000000,1.9153282986
88,0.3858000000,2.3299319847
89,0.3725000000,2.6355500580
90,0.3404000000,2.3934075069
91,0.4044000000,2.0130788036
92,0.4009000000,2.1037941845
93,0.4371000000,2.2613483097
94,0.3560000000,2.2655217939
95,0.3947000000,2.1407572304
96,0.3804000000,2.4430900150
97,0.4090000000,2.2052073814
98,0.4208000000,2.2650123196
99,0.3668000000,2.4194201019
100,0.4053000000,2.2577517286
101,0.3363000000,2.7480364197
102,0.3948000000,2.2655747986
103,0.4135000000,2.0907438997
104,0.3554000000,2.8165811794
105,0.3965000000,2.2065781822
106,0.3998000000,2.3441136534
107,0.4393000000,1.9600574558
108,0.4087000000,2.1784593889
109,0.3112000000,2.9102646431
110,0.2988000000,3.7676531677
111,0.3544000000,2.5974191048
112,0.3908000000,2.3004606232
113,0.3996000000,2.2154391602
114,0.4505000000,2.3951588482
115,0.4262000000,2.0709039734
116,0.3417000000,2.7073933947
117,0.3417000000,2.4067293255
118,0.4220000000,2.2859837929
119,0.3767000000,2.6321031715
120,0.4273000000,1.9670364584
