round,test_acc,test_loss
0,0.1000000000,2.4028492577
1,0.1043000000,2.5252355869
2,0.2082000000,2.2174790474
3,0.2009000000,2.2428344406
4,0.2145000000,2.3560229610
5,0.2325000000,2.0617502499
6,0.2722000000,2.1326333199
7,0.2891000000,2.0668456280
8,0.3082000000,2.1396004555
9,0.2500000000,2.0291291584
10,0.2932000000,1.9415832123
11,0.3096000000,2.1355023182
12,0.3026000000,2.0903753496
13,0.2796000000,2.2088300213
14,0.3359000000,1.8727692657
15,0.3671000000,1.7096373531
16,0.2429000000,2.2819600096
17,0.2754000000,2.2763304623
18,0.3205000000,1.8872280544
19,0.3322000000,1.8863332470
20,0.3087000000,2.0146828918
21,0.1868000000,2.7712301918
22,0.3587000000,1.9342072657
23,0.3463000000,1.7987308203
24,0.2543000000,2.5807676102
25,0.3541000000,2.0039285084
26,0.2975000000,2.2659132446
27,0.2347000000,2.5457096573
28,0.3250000000,1.8283283783
29,0.3793000000,1.6900627102
30,0.3347000000,1.9690082996
31,0.3292000000,2.0548347961
32,0.3145000000,2.0785687637
33,0.3877000000,1.9487662712
34,0.3222000000,2.0883366276
35,0.3788000000,1.8071893353
36,0.2274000000,3.3698268467
37,0.3087000000,2.2523365967
38,0.2699000000,2.3318673073
39,0.3608000000,1.9625739784
40,0.3241000000,2.4314092495
41,0.3973000000,1.9556252666
42,0.3814000000,1.8515787918
43,0.4486000000,1.6118394936
44,0.4525000000,1.5890783142
45,0.3543000000,1.8533068531
46,0.3546000000,2.0024956944
47,0.3467000000,1.9470697258
48,0.4019000000,1.7313242813
49,0.4477000000,1.4952910507
50,0.3768000000,1.8437432842
51,0.3466000000,1.9580556057
52,0.4485000000,1.4977449375
53,0.2733000000,2.1932620796
54,0.4615000000,1.6635407192
55,0.4268000000,1.7766050117
56,0.4040000000,1.8097282143
57,0.4100000000,1.7518464409
58,0.4534000000,1.6865527462
59,0.3450000000,2.0669393482
60,0.4123000000,1.7590380589
61,0.3010000000,1.9207836132
62,0.4118000000,1.9324715435
63,0.4486000000,1.6224071932
64,0.3082000000,2.5554092567
65,0.5464000000,1.4427301043
66,0.3966000000,1.8446036591
67,0.4458000000,1.5567064936
68,0.3729000000,2.0094588760
69,0.5328000000,1.4039823391
70,0.4810000000,1.4593846907
71,0.5236000000,1.4706046114
72,0.5057000000,1.4508197197
73,0.4097000000,1.7692523460
74,0.4535000000,1.8639558887
75,0.4487000000,1.6327987843
76,0.5132000000,1.3560345743
77,0.5322000000,1.3169401827
78,0.4400000000,1.8445827400
79,0.4914000000,1.3947612799
80,0.4386000000,1.6217847519
81,0.4702000000,1.6632522997
82,0.4246000000,1.8592101643
83,0.3212000000,2.7882393364
84,0.4624000000,1.6518273029
85,0.4968000000,1.5345302855
86,0.4547000000,1.5871050083
87,0.4879000000,1.4498126709
88,0.4447000000,1.8636869650
89,0.2705000000,2.3493693165
90,0.4332000000,1.9057261391
91,0.5642000000,1.2511447317
92,0.5331000000,1.4023556547
93,0.4656000000,1.4700551929
