variant,noise_type,std1,std2,clip_norm,noise_shape,ce_on_noisy_xs,x_to_x_final_acc,xp_to_xp_final_acc,x_plus_xp_to_x_final_acc,x_plus_xp_to_x_best_acc,attack_auc,attack_acc,member_recall,member_precision,attack_mode,shadow_models,shadow_train_samples,shadow_test_samples,member_count,nonmember_count,inversion_mse,inversion_l1,inversion_psnr,figure
A0_noclip_none,none,0.0,0.0,0.0,paper,False,0.454,0.631,0.63325,0.63325,0.5607734375,0.5,0.0,0.0,shadow,2,400,400,800,800,0.012957347556948662,0.08660794794559479,18.87483891928173,result/cifar10/fedfed_privacy_probe_fedfed_privacy_5090_20260514T031052Z/figures/inversion_A0_noclip_none.png
A1_noclip_g020_025,gaussian,0.2,0.25,0.0,paper,True,0.51325,0.49075,0.606,0.606,0.6402953125,0.49875,0.99375,0.4993718592964824,shadow,2,400,400,800,800,0.018537620082497597,0.10729264467954636,17.319460226933167,result/cifar10/fedfed_privacy_probe_fedfed_privacy_5090_20260514T031052Z/figures/inversion_A1_noclip_g020_025.png
C14_g020_025,gaussian,0.2,0.25,14.0,paper,True,0.578,0.516,0.61675,0.61675,0.65816875,0.500625,1.0,0.5003126954346466,shadow,2,400,400,800,800,0.021632980555295944,0.11449931561946869,16.648836400828152,result/cifar10/fedfed_privacy_probe_fedfed_privacy_5090_20260514T031052Z/figures/inversion_C14_g020_025.png
C12_g020_025,gaussian,0.2,0.25,12.0,paper,True,0.5765,0.4985,0.61775,0.61775,0.6516796875,0.500625,1.0,0.5003126954346466,shadow,2,400,400,800,800,0.01434730738401413,0.09451796859502792,18.432295970477274,result/cifar10/fedfed_privacy_probe_fedfed_privacy_5090_20260514T031052Z/figures/inversion_C12_g020_025.png
C10_g020_025,gaussian,0.2,0.25,10.0,paper,True,0.55075,0.518,0.6185,0.6185,0.654703125,0.52625,0.97125,0.5138888888888888,shadow,2,400,400,800,800,0.02162119746208191,0.11496005952358246,16.65120256877944,result/cifar10/fedfed_privacy_probe_fedfed_privacy_5090_20260514T031052Z/figures/inversion_C10_g020_025.png
C12_g010_015,gaussian,0.1,0.15,12.0,paper,True,0.5655,0.562,0.63075,0.63075,0.6785984375,0.501875,0.9975,0.5009416195856874,shadow,2,400,400,800,800,0.01561744324862957,0.09594850242137909,18.06390063537971,result/cifar10/fedfed_privacy_probe_fedfed_privacy_5090_20260514T031052Z/figures/inversion_C12_g010_015.png
C12_g015_020,gaussian,0.15,0.2,12.0,paper,True,0.44625,0.52575,0.59425,0.59425,0.65774375,0.52,0.985,0.5103626943005182,shadow,2,400,400,800,800,0.01859384775161743,0.10586431622505188,17.30630729411446,result/cifar10/fedfed_privacy_probe_fedfed_privacy_5090_20260514T031052Z/figures/inversion_C12_g015_020.png
C12_g025_030,gaussian,0.25,0.3,12.0,paper,True,0.56075,0.4825,0.61425,0.61425,0.6250390625,0.5025,0.99625,0.5012578616352201,shadow,2,400,400,800,800,0.020864304155111313,0.1133984923362732,16.805960948552062,result/cifar10/fedfed_privacy_probe_fedfed_privacy_5090_20260514T031052Z/figures/inversion_C12_g025_030.png
C14_g015_020,gaussian,0.15,0.2,14.0,paper,True,0.545,0.529,0.5885,0.5885,0.6219234375,0.49875,0.9975,0.49937421777221525,shadow,2,400,400,800,800,0.01663532294332981,0.10088025033473969,17.78968763707408,result/cifar10/fedfed_privacy_probe_fedfed_privacy_5090_20260514T031052Z/figures/inversion_C14_g015_020.png
C10_g015_020,gaussian,0.15,0.2,10.0,paper,True,0.5485,0.53375,0.621,0.621,0.6099546875,0.5,1.0,0.5,shadow,2,400,400,800,800,0.021962255239486694,0.11522360891103745,16.583230655072413,result/cifar10/fedfed_privacy_probe_fedfed_privacy_5090_20260514T031052Z/figures/inversion_C10_g015_020.png
