run_id,experiment_id,group,method,plugin_name,status,duration_min,dirichlet_alpha,local_epoch,batch_size,distill_rounds,shared_buffer_size,shared_per_class_size,final_acc,best_acc,best_round,final_round,final_loss,best_loss,metrics_path
fedfed_thesis_15run_4090_fast_20260506T140411Z_main_a0p1_e1_FedAvg,main_a0p1_e1,main,FedAvg,none,succeeded,44.11,0.1,1,64,0,0,0,0.5383,0.6389,187,222,1.9247987369537354,1.2779487562179566,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_main_a0p1_e1_FedAvg/metrics.json
fedfed_thesis_15run_4090_fast_20260506T140411Z_main_a0p1_e1_FedFedPlugin,main_a0p1_e1,main,FedFedPlugin,fedfed_image,succeeded,163.32,0.1,1,64,15,0,0,0.8853,0.8895,165,167,0.3765603407859802,0.3510158720970154,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_main_a0p1_e1_FedFedPlugin/metrics.json
fedfed_thesis_15run_4090_fast_20260506T140411Z_heterogeneity_alpha_alpha0p3_FedAvg,heterogeneity_alpha,heterogeneity,FedAvg,none,succeeded,27.27,0.3,1,64,0,0,0,0.6781,0.7195,83,120,1.2969214336395263,0.9612293514251709,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_heterogeneity_alpha_alpha0p3_FedAvg/metrics.json
fedfed_thesis_15run_4090_fast_20260506T140411Z_heterogeneity_alpha_alpha0p3_FedFedPlugin,heterogeneity_alpha,heterogeneity,FedFedPlugin,fedfed_image,succeeded,259.44,0.3,1,64,15,0,0,0.9114,0.9198,232,267,0.3283698240041733,0.2856363424420357,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_heterogeneity_alpha_alpha0p3_FedFedPlugin/metrics.json
fedfed_thesis_15run_4090_fast_20260506T140411Z_heterogeneity_alpha_alpha0p05_FedAvg,heterogeneity_alpha,heterogeneity,FedAvg,none,succeeded,27.96,0.05,1,64,0,0,0,0.3493,0.3815,81,120,2.816019882965088,1.8309159545898437,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_heterogeneity_alpha_alpha0p05_FedAvg/metrics.json
fedfed_thesis_15run_4090_fast_20260506T140411Z_heterogeneity_alpha_alpha0p05_FedFedPlugin,heterogeneity_alpha,heterogeneity,FedFedPlugin,fedfed_image,succeeded,178.53,0.05,1,64,15,0,0,0.7864,0.848,149,184,0.6993451246261597,0.45052523012161255,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_heterogeneity_alpha_alpha0p05_FedFedPlugin/metrics.json
fedfed_thesis_15run_4090_fast_20260506T140411Z_local_epoch_epoch5_FedAvg,local_epoch,local_epoch,FedAvg,none,succeeded,116.03,0.1,5,64,0,0,0,0.5857,0.596,58,120,1.3901350131988526,1.3352572618484497,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_local_epoch_epoch5_FedAvg/metrics.json
fedfed_thesis_15run_4090_fast_20260506T140411Z_local_epoch_epoch5_FedFedPlugin,local_epoch,local_epoch,FedFedPlugin,fedfed_image,succeeded,600.5,0.1,5,64,15,0,0,0.9101,0.919,132,167,0.30966393520832064,0.2889944021463394,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_local_epoch_epoch5_FedFedPlugin/metrics.json
fedfed_thesis_15run_4090_fast_20260506T140411Z_shared_pool_FedFedSmallPool,shared_pool,shared_pool,FedFedSmallPool,fedfed_image,succeeded,115.07,0.1,1,64,15,800,80,0.753,0.8031,172,207,0.7988663536071777,0.5735368145942688,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_shared_pool_FedFedSmallPool/metrics.json
fedfed_thesis_15run_4090_fast_20260506T140411Z_shared_pool_FedFedMediumPool,shared_pool,shared_pool,FedFedMediumPool,fedfed_image,succeeded,134.06,0.1,1,64,15,4000,400,0.7548,0.8012,218,234,0.8815295643806458,0.6114886229515075,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_shared_pool_FedFedMediumPool/metrics.json
fedfed_thesis_15run_4090_fast_20260506T140411Z_shared_pool_FedFedFullPool,shared_pool,shared_pool,FedFedFullPool,fedfed_image,succeeded,239.7,0.1,1,64,15,0,0,0.895,0.9033,243,249,0.36962081789970397,0.32068013055324557,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_shared_pool_FedFedFullPool/metrics.json
