batch_size,best_acc,best_loss,best_round,dirichlet_alpha,distill_rounds,duration_min,experiment_id,final_acc,final_loss,final_round,group,local_epoch,method,metrics_path,plugin_name,run_id,shared_buffer_size,shared_per_class_size,status
64,0.6389,1.2779487562179566,187,0.1,0,44.11,main_a0p1_e1,0.5383,1.9247987369537354,222,main,1,FedAvg,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_main_a0p1_e1_FedAvg/metrics.json,none,fedfed_thesis_15run_4090_fast_20260506T140411Z_main_a0p1_e1_FedAvg,0,0,succeeded
64,0.8895,0.3510158720970154,165,0.1,15,163.32,main_a0p1_e1,0.8853,0.3765603407859802,167,main,1,FedFedPlugin,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_main_a0p1_e1_FedFedPlugin/metrics.json,fedfed_image,fedfed_thesis_15run_4090_fast_20260506T140411Z_main_a0p1_e1_FedFedPlugin,0,0,succeeded
64,0.7195,0.9612293514251709,83,0.3,0,27.27,heterogeneity_alpha,0.6781,1.2969214336395263,120,heterogeneity,1,FedAvg,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_heterogeneity_alpha_alpha0p3_FedAvg/metrics.json,none,fedfed_thesis_15run_4090_fast_20260506T140411Z_heterogeneity_alpha_alpha0p3_FedAvg,0,0,succeeded
64,0.9198,0.2856363424420357,232,0.3,15,259.44,heterogeneity_alpha,0.9114,0.3283698240041733,267,heterogeneity,1,FedFedPlugin,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_heterogeneity_alpha_alpha0p3_FedFedPlugin/metrics.json,fedfed_image,fedfed_thesis_15run_4090_fast_20260506T140411Z_heterogeneity_alpha_alpha0p3_FedFedPlugin,0,0,succeeded
64,0.3815,1.8309159545898437,81,0.05,0,27.96,heterogeneity_alpha,0.3493,2.816019882965088,120,heterogeneity,1,FedAvg,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_heterogeneity_alpha_alpha0p05_FedAvg/metrics.json,none,fedfed_thesis_15run_4090_fast_20260506T140411Z_heterogeneity_alpha_alpha0p05_FedAvg,0,0,succeeded
64,0.848,0.45052523012161255,149,0.05,15,178.53,heterogeneity_alpha,0.7864,0.6993451246261597,184,heterogeneity,1,FedFedPlugin,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_heterogeneity_alpha_alpha0p05_FedFedPlugin/metrics.json,fedfed_image,fedfed_thesis_15run_4090_fast_20260506T140411Z_heterogeneity_alpha_alpha0p05_FedFedPlugin,0,0,succeeded
64,0.596,1.3352572618484497,58,0.1,0,116.03,local_epoch,0.5857,1.3901350131988526,120,local_epoch,5,FedAvg,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_local_epoch_epoch5_FedAvg/metrics.json,none,fedfed_thesis_15run_4090_fast_20260506T140411Z_local_epoch_epoch5_FedAvg,0,0,succeeded
64,0.919,0.2889944021463394,132,0.1,15,600.5,local_epoch,0.9101,0.30966393520832064,167,local_epoch,5,FedFedPlugin,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_local_epoch_epoch5_FedFedPlugin/metrics.json,fedfed_image,fedfed_thesis_15run_4090_fast_20260506T140411Z_local_epoch_epoch5_FedFedPlugin,0,0,succeeded
64,0.8031,0.5735368145942688,172,0.1,15,115.07,shared_pool,0.753,0.7988663536071777,207,shared_pool,1,FedFedSmallPool,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_shared_pool_FedFedSmallPool/metrics.json,fedfed_image,fedfed_thesis_15run_4090_fast_20260506T140411Z_shared_pool_FedFedSmallPool,800,80,succeeded
64,0.8012,0.6114886229515075,218,0.1,15,134.06,shared_pool,0.7548,0.8815295643806458,234,shared_pool,1,FedFedMediumPool,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_shared_pool_FedFedMediumPool/metrics.json,fedfed_image,fedfed_thesis_15run_4090_fast_20260506T140411Z_shared_pool_FedFedMediumPool,4000,400,succeeded
64,0.9033,0.32068013055324557,243,0.1,15,239.7,shared_pool,0.895,0.36962081789970397,249,shared_pool,1,FedFedFullPool,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_shared_pool_FedFedFullPool/metrics.json,fedfed_image,fedfed_thesis_15run_4090_fast_20260506T140411Z_shared_pool_FedFedFullPool,0,0,succeeded
64,0.8973,0.335401450920105,142,0.1,5,173.01,distillation,0.8943,0.3591155720710754,177,distillation,1,Distill5,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_distillation_Distill5/metrics.json,fedfed_image,fedfed_thesis_15run_4090_fast_20260506T140411Z_distillation_Distill5,0,0,succeeded
64,0.8841,0.36049559423923494,117,0.1,15,154.9,distillation,0.875,0.3978994915008545,152,distillation,1,Distill15,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_distillation_Distill15/metrics.json,fedfed_image,fedfed_thesis_15run_4090_fast_20260506T140411Z_distillation_Distill15,0,0,succeeded
64,0.8926,0.34360437614917755,157,0.1,30,187.61,distillation,0.8873,0.3775310878276825,169,distillation,1,Distill30,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_distillation_Distill30/metrics.json,fedfed_image,fedfed_thesis_15run_4090_fast_20260506T140411Z_distillation_Distill30,0,0,succeeded
64,0.903,0.31011931681633,212,0.1,30,278.16,distillation,0.8819,0.40999484992027285,229,distillation,1,Distill30E2,/root/FedFed-thesis-suite/result/cifar10/cifar_resnet18__wn5_tn10_sd3001_lr0.01_ne300_bs64_fedfed_thesis_15run_4090_fast_20260506T140411Z_distillation_Distill30E2/metrics.json,fedfed_image,fedfed_thesis_15run_4090_fast_20260506T140411Z_distillation_Distill30E2,0,0,succeeded
